,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category,node_ids,Score,id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,priv_bath,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_90,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,hrt_a few days or more,hrt_within a day,hrt_within a few hours,hrt_within an hour,rt_Entire home/apt,rt_Hotel room,rt_Private room,rt_Shared room,pt_Apartment,pt_House,pt_Other,pt_Room
1329,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,15937307,414263,within a day,0.71,1.0,0,12,5,1,51.03787,3.73042,Apartment,Entire home/apt,4,1.0,1.0,1,2.0,105.0,1,99,13,9,0,2019-09-02,3.5,4.0,4.38,3.13,3.38,3.75,3.25,1,0.16,0,1,0,0,1,0,0,0,1,0,0,0
1330,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,16684903,42607614,within a few hours,1.0,0.33,1,1,6,1,51.05824,3.72104,Apartment,Entire home/apt,6,1.0,1.5,3,3.0,249.0,2,1125,58,73,0,2019-08-14,4.93,4.99,4.99,4.99,4.9,4.97,4.79,0,1.42,0,0,1,0,1,0,0,0,1,0,0,0
1331,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,16701149,110630447,within an hour,1.0,0.99,0,1,6,1,51.04984,3.72148,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,71.0,2,1125,30,236,14,2019-12-13,4.61,4.78,4.81,4.86,4.91,4.97,4.68,0,4.32,0,0,0,1,1,0,0,0,1,0,0,0
1332,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17196233,115767658,within an hour,1.0,1.0,0,1,6,1,51.04554,3.72371,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,75.0,10,1125,50,78,0,2019-12-26,4.77,4.84,4.7,4.9,4.9,4.79,4.65,1,1.49,0,0,0,1,1,0,0,0,1,0,0,0
1333,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17341843,18156019,within a day,1.0,1.0,0,2,6,1,51.04025,3.73841,Apartment,Entire home/apt,2,1.0,0.5,1,1.0,30.0,14,62,0,20,2,2017-09-01,4.6,4.8,4.05,5.0,4.9,4.35,4.7,1,0.38,0,1,0,0,1,0,0,0,1,0,0,0
1334,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17415373,414263,within a day,0.71,1.0,0,12,5,1,51.03782,3.73044,Apartment,Entire home/apt,4,1.0,1.0,1,2.0,105.0,2,300,25,6,0,2020-01-17,4.0,4.8,3.6,4.8,4.2,4.8,3.8,1,0.24,0,1,0,0,1,0,0,0,1,0,0,0
1335,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17415990,414263,within a day,0.71,1.0,0,12,5,1,51.03782,3.73044,Apartment,Entire home/apt,4,1.0,1.0,1,2.0,76.0,7,365,0,4,0,2017-08-19,4.25,4.25,4.5,4.75,4.75,4.67,3.67,1,0.08,0,1,0,0,1,0,0,0,1,0,0,0
1336,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17416223,414263,within a day,0.71,1.0,0,12,5,1,51.03782,3.73044,Apartment,Entire home/apt,4,1.0,1.0,1,2.0,105.0,2,200,16,2,0,2019-09-29,5.0,4.0,4.5,3.0,3.0,4.5,3.5,1,0.05,0,1,0,0,1,0,0,0,1,0,0,0
1337,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17416354,414263,within a day,0.71,1.0,0,12,5,1,51.03782,3.73044,Apartment,Entire home/apt,3,1.0,1.0,1,2.0,79.0,2,200,25,3,0,2019-10-02,4.0,4.67,4.67,4.67,4.33,4.67,4.67,1,0.13,0,1,0,0,1,0,0,0,1,0,0,0
1338,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,17585223,46082978,within an hour,1.0,1.0,0,2,8,1,51.05364,3.72316,Apartment,Entire home/apt,6,1.0,1.5,2,3.0,263.0,2,30,66,21,2,2018-04-12,4.9,4.95,4.9,5.0,5.0,4.9,4.57,0,0.41,0,0,0,1,1,0,0,0,1,0,0,0
